NAMESPACE            NAME                            READY   UP-TO-DATE   AVAILABLE   AGE
ai-coding            claude-code                     1/1     1            1           11h
ai-coding            opencode                        1/1     1            1           11h
ai-inference         ai-inference-gateway            0/0     0            0           2d1h
ai-inference         n8n                             1/1     1            1           2d21h
ai-inference         prometheus                      1/1     1            1           3d9h
ai-inference         redis                           1/1     1            1           3d9h
ai-inference         vllm-inference                  0/0     0            0           3d9h
ai-inference         vllm-qwen3.5                    0/0     0            0           2d12h
akash-cpu-test       nginx-test                      2/2     2            2           37h
akash-services       cloudflared                     1/1     1            1           2d4h
akash-services       operator-hostname               1/1     1            1           2d22h
akash-services       operator-inventory              0/1     1            0           2d22h
glitchtip            web                             0/0     0            0           2d16h
glitchtip            worker                          0/0     0            0           2d16h
ingress-nginx        ingress-nginx-controller        1/1     1            1           42h
istio-system         istiod                          1/1     1            1           3d7h
kube-system          coredns                         1/1     1            1           3d9h
kube-system          metrics-server                  1/1     1            1           6h21m
local-path-storage   local-path-provisioner          1/1     1            1           3d9h
mining               gaming-placeholder-volcano      0/0     0            0           16h
mining               gpu-miner-forge-nvidia-0        1/1     1            1           33h
mining               gpu-miner-forge-nvidia-1        1/1     1            1           33h
mining               gpu-miner-nexus                 1/1     1            1           14h
mining               gpu-miner-zephyr                1/1     1            1           37h
mining               xmrig-nexus                     1/1     1            1           13h
mining               xmrig-sentry                    0/0     0            0           13h
mining               xmrig-zephyr                    1/1     1            1           13h
monitoring           grafana                         1/1     1            1           15h
monitoring           prometheus                      1/1     1            1           15h
search               redis                           1/1     1            1           11h
search               searxng                         10/10   10           10          153m
volcano-system       volcano-admission               1/1     1            1           2d1h
volcano-system       volcano-controllers             1/1     1            1           2d1h
volcano-system       volcano-scheduler               1/1     1            1           2d1h
yunikorn             yunikorn-admission-controller   0/0     0            0           2d1h
yunikorn             yunikorn-scheduler              1/1     1            1           2d1h
