NAMESPACE        NAME                           MIN AVAILABLE   MAX UNAVAILABLE   ALLOWED DISRUPTIONS   AGE
ai-coding        claude-code-pdb                1               N/A               0                     5h9m
ai-coding        opencode-pdb                   1               N/A               0                     5h9m
ai-inference     ai-gateway-pdb                 2               N/A               0                     3d9h
ai-inference     ai-inference-gateway-pdb       1               N/A               0                     2d1h
ai-inference     grafana-pdb                    1               N/A               0                     12h
ai-inference     n8n-pdb                        1               N/A               0                     12h
ai-inference     postgres-n8n-pdb               1               N/A               0                     5h9m
ai-inference     prometheus-pdb                 1               N/A               0                     5h9m
ai-inference     qdrant-pdb                     1               N/A               0                     5h9m
ai-inference     redis-pdb                      1               N/A               0                     12h
akash-services   akash-node-pdb                 1               N/A               0                     5h9m
akash-services   akash-provider-pdb             1               N/A               0                     17h
akash-services   cloudflared-pdb                1               N/A               0                     5h9m
akash-services   operator-hostname-pdb          1               N/A               0                     5h9m
akash-services   operator-inventory-pdb         1               N/A               0                     5h9m
default          gpu-miner-forge-nvidia-0-pdb   N/A             1                 0                     5h9m
default          gpu-miner-forge-nvidia-1-pdb   N/A             1                 0                     5h9m
default          gpu-miner-nexus-pdb            N/A             1                 0                     5h9m
default          gpu-miner-zephyr-pdb           N/A             1                 0                     5h9m
default          xmrig-nexus-pdb                N/A             1                 0                     5h9m
default          xmrig-zephyr-pdb               N/A             1                 0                     5h9m
glitchtip        glitchtip-postgres-pdb         1               N/A               0                     5h9m
glitchtip        glitchtip-web-pdb              1               N/A               0                     12h
glitchtip        glitchtip-worker-pdb           1               N/A               0                     12h
ingress-nginx    ingress-nginx-pdb              1               N/A               0                     5h9m
kube-system      amdgpu-device-plugin-pdb       2               N/A               0                     5h9m
kube-system      coredns-pdb                    1               N/A               0                     5h9m
kube-system      metrics-server-pdb             1               N/A               0                     5h9m
kube-system      nvidia-device-plugin-pdb       2               N/A               1                     5h9m
mining           gpu-miner-pdb                  N/A             100%              2                     2d1h
